# 来源 war3map.w3r 的 RctPlayer_0..7，加上 war3map.wpm。
# 每个区域 1152×2048，按 128 分成 9 列 × 16 行。抽查的 144 个中心点都可走且可造。
# 不是模拟器里的 6×4。本文件先不接 CombatSim。
# w3i 开始点与这些区域不是一一对应，见 starts.txt。
region,col,row,x,y,walk,build
RctPlayer_0,0,0,-6208,3200,1,1
RctPlayer_0,1,0,-6080,3200,1,1
RctPlayer_0,2,0,-5952,3200,1,1
RctPlayer_0,3,0,-5824,3200,1,1
RctPlayer_0,4,0,-5696,3200,1,1
RctPlayer_0,5,0,-5568,3200,1,1
RctPlayer_0,6,0,-5440,3200,1,1
RctPlayer_0,7,0,-5312,3200,1,1
RctPlayer_0,8,0,-5184,3200,1,1
RctPlayer_0,0,1,-6208,3328,1,1
RctPlayer_0,1,1,-6080,3328,1,1
RctPlayer_0,2,1,-5952,3328,1,1
RctPlayer_0,3,1,-5824,3328,1,1
RctPlayer_0,4,1,-5696,3328,1,1
RctPlayer_0,5,1,-5568,3328,1,1
RctPlayer_0,6,1,-5440,3328,1,1
RctPlayer_0,7,1,-5312,3328,1,1
RctPlayer_0,8,1,-5184,3328,1,1
RctPlayer_0,0,2,-6208,3456,1,1
RctPlayer_0,1,2,-6080,3456,1,1
RctPlayer_0,2,2,-5952,3456,1,1
RctPlayer_0,3,2,-5824,3456,1,1
RctPlayer_0,4,2,-5696,3456,1,1
RctPlayer_0,5,2,-5568,3456,1,1
RctPlayer_0,6,2,-5440,3456,1,1
RctPlayer_0,7,2,-5312,3456,1,1
RctPlayer_0,8,2,-5184,3456,1,1
RctPlayer_0,0,3,-6208,3584,1,1
RctPlayer_0,1,3,-6080,3584,1,1
RctPlayer_0,2,3,-5952,3584,1,1
RctPlayer_0,3,3,-5824,3584,1,1
RctPlayer_0,4,3,-5696,3584,1,1
RctPlayer_0,5,3,-5568,3584,1,1
RctPlayer_0,6,3,-5440,3584,1,1
RctPlayer_0,7,3,-5312,3584,1,1
RctPlayer_0,8,3,-5184,3584,1,1
RctPlayer_0,0,4,-6208,3712,1,1
