id,name,wood,income,hp,atk_min,atk_max,as,rng,at,df,min_wave
m080,兽人战士,80,3,210,28,31,1.3,100,普通,重甲,1
m100,隐士,100,4,230,25,27,1.1,250,魔法,轻甲,1
m120,科多兽,120,5,260,30,32,1.2,300,攻城,城甲,1
m140,熊怪,140,6,390,42,54,1.2,120,普通,重甲,1
m160,雷霆蜥蜴,160,7,365,49,63,1.2,120,穿刺,中甲,1
m180,飞龙,180,9,390,63,81,1.2,200,普通,轻甲,1
m200,沸血兽人,200,10,515,70,90,1.2,100,普通,重甲,1
m220,巨箭射手,220,10,505,70,90,1.1,450,穿刺,中甲,1
m240,冰魔,240,12,545,84,108,1.2,120,魔法,轻甲,11
m260,霜狼,260,12,705,84,108,1.2,120,普通,重甲,11
m280,黑暗精灵,280,14,690,98,126,1.1,250,魔法,轻甲,11
m300,术士,300,14,585,98,126,1.2,300,魔法,轻甲,11
m320,熊猫人,320,16,1075,112,144,1.2,100,普通,重甲,11
m340,弩车,340,17,560,119,153,1.3,450,攻城,城甲,11
m360,暗影牧师,360,17,775,119,153,1.2,250,魔法,轻甲,11
m380,幽灵刺客,380,17,665,119,153,1.1,120,普通,轻甲,11
m400,萨满,400,18,770,126,162,1.2,250,魔法,中甲,11
m500,巨兽,500,25,1420,175,225,1.3,100,攻城,重甲,16
m600,海怪,600,30,1285,210,270,1.2,150,普通,重甲,16
m700,憎恶,700,35,2525,245,315,1.3,100,普通,重甲,16
m800,巫妖,800,36,1840,252,324,1.2,400,魔法,轻甲,16
m1000,地狱火,1000,45,2500,315,405,1.3,120,攻城,重甲,16
m1500,恶魔猎手,1500,70,3000,490,630,1.1,120,普通,轻甲,16
m2000,血法师,2000,90,3900,630,810,1.2,400,魔法,轻甲,16
m2500,幽灵龙,2500,120,5625,840,1080,1.4,500,混乱,重甲,16
