# 来源 war3map.wpm 上 RctPlayer 区域之间的可走带。点都在可走格上。
# war3mapUnits.doo 单位数为 0，国王坐标对不上，折线不标国王。方向不在明文里。
# 本文件先不接 CombatSim。
lane,i,x,y,walk
mid_road,0,-6208,2816,1
mid_road,1,-5952,2816,1
mid_road,2,-5696,2816,1
mid_road,3,-5440,2816,1
mid_road,4,-5184,2816,1
mid_road,5,-4928,2816,1
mid_road,6,-4672,2816,1
mid_road,7,-4416,2816,1
mid_road,8,-4160,2816,1
mid_road,9,-3904,2816,1
mid_road,10,-3648,2816,1
mid_road,11,-3392,2816,1
mid_road,12,-3136,2816,1
mid_road,13,-2880,2816,1
mid_road,14,-2624,2816,1
mid_road,15,-2368,2816,1
mid_road,16,-2112,2816,1
mid_road,17,-1856,2816,1
mid_road,18,-1600,2816,1
mid_road,19,-1344,2816,1
mid_road,20,-1088,2816,1
mid_road,21,-832,2816,1
mid_road,22,-576,2816,1
mid_road,23,-320,2816,1
mid_road,24,-64,2816,1
mid_road,25,192,2816,1
mid_road,26,448,2816,1
mid_road,27,704,2816,1
mid_road,28,960,2816,1
mid_road,29,1216,2816,1
mid_road,30,1472,2816,1
mid_road,31,1728,2816,1
mid_road,32,1984,2816,1
mid_road,33,2240,2816,1
mid_road,34,2496,2816,1
mid_road,35,2752,2816,1
mid_road,36,3008,2816,1
mid_road,37,3264,2816,1
mid_road,38,3520,2816,1
mid_road,39,3776,2816,1
mid_road,40,4032,2816,1
mid_road,41,4288,2816,1
mid_road,42,4544,2816,1
mid_road,43,4800,2816,1
mid_road,44,5056,2816,1
mid_road,45,5312,2816,1
mid_road,46,5568,2816,1
mid_road,47,5824,2816,1
mid_road,48,6080,2816,1
gap_0_1,0,-3520,512,1
gap_0_1,1,-3520,768,1
gap_0_1,2,-3520,1024,1
gap_0_1,3,-3520,1280,1
gap_0_1,4,-3520,1536,1
gap_0_1,5,-3520,1792,1
gap_0_1,6,-3520,2048,1
gap_0_1,7,-3520,2304,1
gap_0_1,8,-3520,2560,1
gap_0_1,9,-3520,2816,1
gap_0_1,10,-3520,3072,1
gap_0_1,11,-3520,3328,1
gap_0_1,12,-3520,3584,1
gap_0_1,13,-3520,3840,1
gap_0_1,14,-3520,4096,1
gap_0_1,15,-3520,4352,1
gap_0_1,16,-3520,4608,1
gap_0_1,17,-3520,4864,1
gap_0_1,18,-3520,5120,1
gap_1_2,0,0,512,1
gap_1_2,1,0,768,1
gap_1_2,2,0,1024,1
gap_1_2,3,0,1280,1
gap_1_2,4,0,1536,1
gap_1_2,5,0,1792,1
gap_1_2,6,0,2048,1
gap_1_2,7,0,2304,1
gap_1_2,8,0,2560,1
gap_1_2,9,0,2816,1
gap_1_2,10,0,3072,1
gap_1_2,11,0,3328,1
gap_1_2,12,0,3584,1
gap_1_2,13,0,3840,1
gap_1_2,14,0,4096,1
gap_1_2,15,0,4352,1
gap_1_2,16,0,4608,1
gap_1_2,17,0,4864,1
gap_1_2,18,0,5120,1
gap_2_3,0,3520,512,1
gap_2_3,1,3520,768,1
gap_2_3,2,3520,1024,1
gap_2_3,3,3520,1280,1
gap_2_3,4,3520,1536,1
gap_2_3,5,3520,1792,1
gap_2_3,6,3520,2048,1
gap_2_3,7,3520,2304,1
gap_2_3,8,3520,2560,1
gap_2_3,9,3520,2816,1
gap_2_3,10,3520,3072,1
gap_2_3,11,3520,3328,1
gap_2_3,12,3520,3584,1
gap_2_3,13,3520,3840,1
gap_2_3,14,3520,4096,1
gap_2_3,15,3520,4352,1
gap_2_3,16,3520,4608,1
gap_2_3,17,3520,4864,1
gap_2_3,18,3520,5120,1
