id,name,gold,wood,food,hp,atk_min,atk_max,as,rng,at,df,upgrade,kind,food_cap
h010,豺狼蛮人,10,0,1,60,6,8,1.2,100,普通,轻甲,h011,unit,0
h011,豺狼战士,80,0,1,430,34,38,1.0,100,普通,轻甲,h01C,unit,0
h01C,蚀骨射手,250,0,3,1275,126,132,0.9,525,穿刺,中甲,,unit,0
h012,食人魔,30,0,1,170,11,13,1.0,100,攻城,重甲,h02O,unit,0
h02O,炼狱拳手,105,0,1,660,41,61,1.0,100,攻城,重甲,h01D,unit,0
h01D,炼狱粉碎者,375,0,3,1980,123,183,1.0,100,攻城,重甲,,unit,0
h016,巨魔斗士,80,0,1,370,48,56,1.4,425,普通,中甲,h017,unit,0
h017,巨魔头领,170,0,3,810,115,127,1.3,475,普通,中甲,h01E,unit,0
h01E,祖尔金,450,0,5,2570,283,305,1.2,475,国王,王甲,,unit,0
h018,灰熊,180,0,1,900,99,115,1.2,100,攻城,重甲,h019,unit,0
h019,巨熊,205,0,2,1805,142,168,0.8,115,攻城,重甲,,unit,0
h01A,龙卵领主,265,0,2,1360,141,159,1.5,180,普通,重甲,h01B,unit,0
h01B,火龙,320,0,4,2350,232,247,1.5,350,普通,重甲,,unit,0
farm1,农场1级,24,80,0,100,0,0,1.0,0,普通,城甲,farm2,farm,16
farm2,农场2级,24,80,0,100,0,0,1.0,0,普通,城甲,farm3,farm,24
farm3,农场3级,24,80,0,100,0,0,1.0,0,普通,城甲,,farm,32
