wave,count,hp,atk,as,rng,at,df,interval,force
1,6,41,4,1.2,90,普通,轻甲,8,80
2,6,56,6,1.2,90,穿刺,中甲,8,120
3,7,73,8,1.2,90,攻城,重甲,8,160
4,7,92,10,1.2,90,魔法,轻甲,8,200
5,8,113,12,1.2,90,普通,城甲,8,240
6,8,136,14,1.2,90,普通,轻甲,8,280
7,9,161,16,1.2,90,穿刺,中甲,7,320
8,9,188,18,1.2,90,攻城,重甲,7,360
9,10,217,20,1.2,90,魔法,轻甲,7,400
10,10,248,22,1.2,90,普通,城甲,7,440
11,11,281,24,1.0,90,普通,轻甲,7,480
12,11,316,26,1.0,90,穿刺,中甲,7,520
13,12,353,28,1.0,90,攻城,重甲,6,560
14,12,392,30,1.0,90,魔法,轻甲,6,600
15,13,433,32,1.0,90,普通,城甲,6,640
16,13,476,34,1.0,90,普通,轻甲,6,680
17,14,521,36,1.0,90,穿刺,中甲,6,720
18,14,568,38,1.0,90,攻城,重甲,6,760
19,15,617,40,1.0,90,魔法,轻甲,5,800
20,15,668,42,1.0,90,普通,城甲,5,840
21,16,721,44,0.85,90,普通,轻甲,5,880
22,16,776,46,0.85,90,穿刺,中甲,5,920
23,16,833,48,0.85,90,攻城,重甲,5,960
24,16,892,50,0.85,90,魔法,轻甲,5,1000
25,16,953,52,0.85,90,普通,城甲,4,1040
26,16,1016,54,0.85,90,普通,轻甲,4,1080
27,16,1081,56,0.85,90,穿刺,中甲,4,1120
28,16,1148,58,0.85,90,攻城,重甲,4,1160
29,16,1217,60,0.85,90,魔法,轻甲,4,1200
30,16,1288,62,0.85,90,普通,城甲,4,1240
